  56232 -.2388 .0011   0.1880 .0010     5.60  0.00    -2.90  0.00   1573  322.60
  56233 -.2387 .0009   0.1886 .0009     5.60  0.00    -2.90  0.00   1714  322.80
  56302 -.2185 .0021   0.1703 .0019     5.60  0.00    -2.90  0.00    952  323.82
  56316 -.2279 .0015   0.1722 .0019     5.60  0.00    -2.90  0.00    649  324.16
  56393 -.2242 .0010   0.1771 .0010     5.60  0.00    -2.90  0.00   1595  325.31
  56412 -.2242 .0011   0.1787 .0010     5.60  0.00    -2.90  0.00   1611  325.82
  56427 -.2227 .0011   0.1737 .0012     5.60  0.00    -2.90  0.00   1403  326.07
  56428 -.2259 .0010   0.1710 .0010     5.60  0.00    -2.90  0.00   1560  326.22
  56476 -.2279 .0011   0.1725 .0010     5.60  0.00    -2.90  0.00   1524  327.28
  56478 -.2292 .0010   0.1707 .0010     5.60  0.00    -2.90  0.00   1619  327.36
  56488 -.2244 .0009   0.1720 .0009     5.60  0.00    -2.90  0.00   2094  327.64
  56638 -.2263 .0010   0.1760 .0010     5.60  0.00    -2.90  0.00   1636  329.89
  56666 -.2266 .0010   0.1751 .0011     5.60  0.00    -2.90  0.00   1512  330.63
  56671 -.2301 .0011   0.1732 .0010     5.60  0.00    -2.90  0.00   1558  330.74
  56672 -.2281 .0009   0.1738 .0009     5.60  0.00    -2.90  0.00   1837  331.00
  56684 -.2282 .0011   0.1695 .0011     5.60  0.00    -2.90  0.00   1445  331.61
  56686 -.2304 .0010   0.1753 .0010     5.60  0.00    -2.90  0.00   1643  331.84
  56695 -.2285 .0010   0.1715 .0010     5.60  0.00    -2.90  0.00   1730  332.28
  56700 -.2241 .0010   0.1696 .0010     5.60  0.00    -2.90  0.00   1810  332.90
  56709 -.2256 .0010   0.1716 .0009     5.60  0.00    -2.90  0.00   1737  333.30
  56710 -.2288 .0010   0.1720 .0010     5.60  0.00    -2.90  0.00   1661  333.52
  56736 -.2253 .0010   0.1709 .0010     5.60  0.00    -2.90  0.00   1689  333.95
  56738 -.2269 .0010   0.1723 .0010     5.60  0.00    -2.90  0.00   1808  334.15
  56813 -.2321 .0009   0.1713 .0009     5.60  0.00    -2.90  0.00   1859  335.09
  56849 -.2294 .0010   0.1787 .0010     5.60  0.00    -2.90  0.00   1742  336.10
  56854 -.2286 .0010   0.1766 .0010     5.60  0.00    -2.90  0.00   1717  336.24
  56855 -.2276 .0009   0.1754 .0009     5.60  0.00    -2.90  0.00   1811  336.31
  56888 -.2324 .0010   0.1795 .0010     5.60  0.00    -2.90  0.00   1557  336.72
  56891 -.2305 .0012   0.1748 .0011     5.60  0.00    -2.90  0.00   1206  337.03
  56905 -.2292 .0012   0.1802 .0012     5.60  0.00    -2.90  0.00   1303  337.24
  56907 -.2312 .0011   0.1780 .0011     5.60  0.00    -2.90  0.00   1342  337.31
  56915 -.2314 .0011   0.1774 .0011     5.60  0.00    -2.90  0.00   1550  337.47
  56934 -.2287 .0012   0.1782 .0011     5.60  0.00    -2.90  0.00   1448  337.94
  56935 -.2281 .0010   0.1761 .0010     5.60  0.00    -2.90  0.00   1704  338.12
  56939 -.2294 .0011   0.1757 .0011     5.60  0.00    -2.90  0.00   1532  338.19
  57022 -.2247 .0011   0.1741 .0011     5.60  0.00    -2.90  0.00   1403  338.95
  57023 -.2313 .0010   0.1742 .0010     5.60  0.00    -2.90  0.00   1598  339.12
  57024 -.2300 .0010   0.1759 .0010     5.60  0.00    -2.90  0.00   1724  339.24
  57035 -.2286 .0012   0.1751 .0012     5.60  0.00    -2.90  0.00   1319  339.60
  57036 -.2304 .0011   0.1779 .0011     5.60  0.00    -2.90  0.00   1426  339.78
  57049 -.2347 .0011   0.1783 .0012     5.60  0.00    -2.90  0.00   1399  340.08
  57053 -.2290 .0012   0.1786 .0012     5.60  0.00    -2.90  0.00   1215  340.18
  57057 -.2287 .0011   0.1748 .0011     5.60  0.00    -2.90  0.00   1328  340.37
  57067 -.2331 .0010   0.1759 .0011     5.60  0.00    -2.90  0.00   1470  340.89
  57142 -.2291 .0010   0.1766 .0011     5.60  0.00    -2.90  0.00   1547  342.05
  57144 -.2323 .0010   0.1780 .0010     5.60  0.00    -2.90  0.00   1581  342.22
  57146 -.2323 .0010   0.1743 .0010     5.60  0.00    -2.90  0.00   1738  342.38
  57162 -.2348 .0011   0.1804 .0011     5.60  0.00    -2.90  0.00   1428  342.70
  57180 -.2313 .0011   0.1767 .0010     5.60  0.00    -2.90  0.00   1500  342.88
  57188 -.2340 .0012   0.1781 .0011     5.60  0.00    -2.90  0.00   1399  343.34
