 MOD DL       VSW     VHV    T0SW    T0HV 
  28  3  -0.23734 0.23364   382.8   378.0
  28  4  -0.23934 0.23558   381.8   374.0
  28  5  -0.23752 0.23382   383.1   378.3
  28  6  -0.23991 0.23613   380.0   374.3
  28  7  -0.23647 0.23280   384.4   379.6
  29  0  -0.24092 0.23711   378.1   372.1
  29  1  -0.23967 0.23590   379.4   376.1
  29  2  -0.23472 0.23110   388.0   382.5
  29  3  -0.24085 0.23704   379.0   371.3
  29  4  -0.24168 0.23785   376.7   371.2
  29  5  -0.23840 0.23467   383.5   377.2
  29  6  -0.23353 0.22995   389.7   385.0
  29  7  -0.23494 0.23132   387.3   381.7
  30  0  -0.23552 0.23188   386.9   379.5
  30  1  -0.23056 0.22707   391.5   391.1
  30  2  -0.24025 0.23647   378.7   374.3
  30  3  -0.23433 0.23072   390.3   381.2
  30  4  -0.23518 0.23155   386.4   381.7
  30  5  -0.24019 0.23641   378.0   374.8
  30  6  -0.23627 0.23261   386.0   379.6
  30  7  -0.24260 0.23874   376.2   367.8
  31  0  -0.23508 0.23145   387.0   381.8
  31  1  -0.23797 0.23425   383.4   377.1
  31  2  -0.23379 0.23020   391.5   383.2
  31  3  -0.23858 0.23484   381.5   375.7
  31  4  -0.23711 0.23342   383.2   378.1
  31  5  -0.23573 0.23209   385.1   382.7
  31  6  -0.23925 0.23549   379.9   377.3
  31  7  -0.23952 0.23575   379.4   375.2

