    LAYER  SECTOR    WIRE      GAIN
        1      10       3    0.004111
        1      10       4    0.004792
        1      10       5    0.005015
        1      10       6    0.005238
        1      10       7    0.004935
        1      10       8    0.004491
        1      10       9    0.005031
        1      10      10    0.004329
        1      11       0    0.004555
        1      11       1    0.004724
        1      11       2    0.004376
        1      11       3    0.005564
        1      11       4    0.004685
        1      11       5    0.001988
        1      11       6    0.004971
        1      11       7    0.004022
        1      11       8    0.003703
        1      11       9    0.004998
        1      11      10    0.004970
        1      12       0    0.004440
        1      12       1    0.005608
        1      12       2    0.004944
        1      12       3    0.004782
        1      12       4    0.004875
        1      12       5    0.004819
        1      12       6    0.004864
        1      12       7    0.004350
        1      12       8    0.004720
        1      12       9    0.004692
        1      12      10    0.004492
        1      13       0    0.004441
        1      13       1    0.005077
        1      13       2    0.004960
        1      13       3    0.005225
        1      13       4    0.004695
        1      13       5    0.005055
        1      13       6    0.005136
        1      13       7    0.006479
        1      13       8    0.013592
        1      13       9    0.005067
        1      13      10    0.004979
        1      14       0    0.004513
        1      14       1    0.005107
        1      14       2    0.005108
        1      14       3    0.004896
        1      14       4    0.005021
        1      14       5    0.006046
        1      14       6    0.005109
        1      14       7    0.004150
        1      14       8    0.004707
        1      14       9    0.004530
        1      14      10    0.004580
        1      15       0    0.004756
        1      15       1    0.004926
        1      15       2    0.004641
        1      15       3    0.004265
        1      15       4    0.005100
        1      15       5    0.005328
        1      15       6    0.004997
        1      15       7    0.004458
        1      15       8    0.004429
        1      15       9    0.004956
        1      15      10    0.004510
        1      16       0    0.004522
        1      16       1    0.004807
        1      16       2    0.004732
        1      16       3    0.004564
        1      16       4    0.005045
        1      16       5    0.005894
        1      16       6    0.004943
        1      16       7    0.004123
        1      16       8    0.004211
        1      16       9    0.004782
        1      16      10    0.004498
        1      17       0    0.004297
        1      17       1    0.005369
        1      17       2    0.005565
        1      17       3    0.004689
        1      17       4    0.006167
        1      17       5    0.005464
        1      17       6    0.005191
        1      17       7    0.004060
        1      17       8    0.005292
        1      17       9    0.004675
        1      17      10    0.004910
        1      18       0    0.004724
        1      18       1    0.004318
        1      18       2    0.005530
        1      18       3    0.005342
        1      18       4    0.004771
        1      18       5    0.006578
        1      18       6    0.005779
        1      18       7    0.003507
        1      18       8    0.003795
        1      18       9    0.005316
        1      18      10    0.005085
        1      19       0    0.004491
        1      19       1    0.004698
        1      19       2    0.004841
        1      19       3    0.004671
        1      19       4    0.005800
        1      19       5    0.004995
        1      19       6    0.005127
        1      19       7    0.004858
        1      19       8    0.004698
        1      19       9    0.004977
        1      19      10    0.004736
        1      20       0    0.004876
        1      20       1    0.005492
        1      20       2    0.005533
        1      20       3    0.005765
        1      20       4    0.005204
        1      20       5    0.005162
        1      20       6    0.005129
        1      20       7    0.004261
        1      20       8    0.004416
        1      20       9    0.005329
        1      20      10    0.005044
        1      21       0    0.004293
        1      21       1    0.004805
        1      21       2    0.002257
        1      21       3    0.004361
        1      21       4    0.004743
        1      21       5    0.005438
        1      21       6    0.005399
        1      21       7    0.004181
        1      21       8    0.004237
        1      21       9    0.004340
        1      21      10    0.004604
        1      22       0    0.005054
        1      22       1    0.008035
        1      22       2    0.007525
        1      22       3    0.007629
        1      22       4    0.008161
        1      22       5    0.008612
        1      22       6    0.005964
        1      22       7    0.004267
        1      22       8    0.003991
        1      22       9    0.004615
        1      22      10    0.004291
        1      23       0    1.000000
        1      23       1    1.000000
        1      23       2    1.000000
        1      23       3    1.000000
        1      23       4    1.000000
        1      23       5    1.000000
        1      23       6    1.000000
        1      23       7    1.000000
        1      23       8    1.000000
        1      23       9    1.000000
        1      23      10    1.000000
        1      24       0    0.004120
        1      24       1    0.005135
        1      24       2    0.004205
        1      24       3    0.005302
        1      24       4    0.004561
        1      24       5    0.004539
        1      24       6    0.005208
        1      24       7    0.004482
        1      24       8    0.004224
        1      24       9    0.004829
        1      24      10    0.004775
        1      25       0    0.004813
        1      25       1    0.005008
        1      25       2    0.005013
        1      25       3    0.003910
        1      25       4    0.004874
        1      25       5    0.005780
        1      25       6    0.005224
        1      25       7    0.004315
        1      25       8    0.004397
        1      25       9    0.004649
        1      25      10    0.005135
        1      26       0    0.004574
        1      26       1    0.004946
        1      26       2    0.004677
        1      26       3    0.005135
        1      26       4    0.005238
        1      26       5    0.005402
        1      26       6    0.004816
        1      26       7    0.004101
        1      26       8    0.004245
        1      26       9    0.004176
        1      26      10    0.004308
        1      27       0    0.004364
        1      27       1    0.004861
        1      27       2    0.005051
        1      27       3    0.004400
        1      27       4    0.004650
        1      27       5    0.004443
        1      27       6    0.002538
        1      27       7    0.005156
        1      27       8    0.004351
        1      27       9    0.001874
        1      27      10    0.001882
        1      28       0    0.004059
        1      28       1    0.004797
        1      28       2    0.004979
        1      28       3    0.004597
        1      28       4    0.004568
        1      28       5    0.005809
        1      28       6    0.005693
        1      28       7    0.004039
        1      28       8    0.004002
        1      28       9    0.005109
        1      28      10    0.004687
        1      29       0    0.003816
        1      29       1    0.005804
        1      29       2    0.005722
        1      29       3    0.005284
        1      29       4    0.005866
        1      29       5    0.005290
        1      29       6    0.005207
        1      29       7    0.003889
        1      29       8    0.003577
        1      29       9    0.004233
        1      29      10    0.004404
        1      30       0    0.004301
        1      30       1    0.004979
        1      30       2    0.004740
        1      30       3    0.005526
        1      30       4    0.005148
        1      30       5    0.005851
        1      30       6    0.005369
        1      30       7    0.004172
        1      30       8    0.003722
        1      30       9    0.005070
        1      30      10    0.005566
        1      31       0    0.004515
        1      31       1    0.005013
        1      31       2    0.005112
        1      31       3    0.005772
        1      31       4    0.004662
        1      31       5    0.005579
        1      31       6    0.006221
        1      31       7    0.004500
        1      31       8    0.003848
        1      31       9    0.005275
        1      31      10    0.005203
        2       0       0    0.005091
        2       0       1    0.005156
        2       0       2    0.004854
        2       0       3    0.004812
        2       0       4    0.004457
        2       0       5    0.005282
        2       0       6    0.005432
        2       0       7    0.004901
        2       0       8    0.004947
        2       0       9    0.004281
        2       0      10    0.004786
        2       1       0    0.004297
        2       1       1    0.006478
        2       1       2    0.005204
        2       1       3    0.004436
        2       1       4    0.004812
        2       1       5    0.004688
        2       1       6    0.005659
        2       1       7    0.003680
        2       1       8    0.003559
        2       1       9    0.004743
        2       1      10    0.004514
        2       2       0    0.004102
        2       2       1    0.005604
        2       2       2    0.006222
        2       2       3    0.004695
        2       2       4    0.004386
        2       2       5    0.005584
        2       2       6    0.004707
        2       2       7    0.004203
        2       2       8    0.004457
        2       2       9    0.005082
        2       2      10    0.005081
        2       3       0    0.003892
        2       3       1    0.005189
        2       3       2    0.005137
        2       3       3    0.005159
        2       3       4    0.004762
        2       3       5    0.005701
        2       3       6    0.005564
        2       3       7    0.004095
        2       3       8    0.004443
        2       3       9    0.004526
        2       3      10    0.004454
        2       4       0    0.004301
        2       4       1    0.005132
        2       4       2    0.005188
        2       4       3    0.004907
        2       4       4    0.005219
        2       4       5    0.005619
        2       4       6    0.005184
        2       4       7    0.004668
        2       4       8    0.004676
        2       4       9    0.004867
        2       4      10    0.004681
        2       5       0    0.004628
        2       5       1    0.005626
        2       5       2    0.005912
        2       5       3    0.004765
        2       5       4    0.005337
        2       5       5    0.005967
        2       5       6    0.005716
        2       5       7    0.004538
        2       5       8    0.005035
        2       5       9    0.004858
        2       5      10    0.004936
        2       6       0    0.005044
        2       6       1    0.005058
        2       6       2    0.004636
        2       6       3    0.004825
        2       6       4    0.004143
        2       6       5    0.005104
        2       6       6    0.005489
        2       6       7    0.004272
        2       6       8    0.004394
        2       6       9    0.004810
        2       6      10    0.005589
        2       7       0    0.004945
        2       7       1    0.005619
        2       7       2    0.005032
        2       7       3    0.004727
        2       7       4    0.005095
        2       7       5    0.005531
        2       7       6    0.005258
        2       7       7    0.004766
        2       7       8    0.004148
        2       7       9    0.004766
        2       7      10    0.004871
        2       8       0    0.004012
        2       8       1    0.006250
        2       8       2    0.004901
        2       8       3    0.004225
        2       8       4    0.005005
        2       8       5    0.006182
        2       8       6    0.005861
        2       8       7    0.004293
        2       8       8    0.004306
        2       8       9    0.005047
        2       8      10    0.004678
        2       9       0    0.004368
        2       9       1    0.005638
        2       9       2    0.004590
        2       9       3    0.004808
        2       9       4    0.004621
        2       9       5    0.005277
        2       9       6    0.005436
        2       9       7    0.005156
