 Module   5                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 143|  21|   2|   0|262.0000|  2.3980|   1393.1541
 225|  21|   2|   7|272.0000|  2.3650|   1403.7820
 999|  21|   3|   0|  0.0000|  2.3170|   1402.3790
 999|  21|   3|   7|  0.0000|  2.3310|   1454.0790
 Module  22                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 153|  22|   0|   0|268.0000|  2.3370|   1407.7180
 221|  22|   0|   7|269.0000|  2.2880|   1388.1470
 339|  22|   1|   0|280.6143|  2.3840|   1416.7570
 206|  22|   1|   7|269.0000|  2.3250|   1439.3210
 131|  22|   2|   0|266.0000|  2.3340|   1393.1541
 172|  22|   2|   7|262.0000|  2.3830|   1377.9120
  77|  22|   3|   0|  0.0000|  2.3440|   1400.4170
 349|  22|   3|   7|269.7397|  2.4070|   1424.4280
 Module  23                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
  88|  23|   0|   0|269.0000|  2.3320|   1407.1550
 137|  23|   0|   7|265.0000|  2.3610|   1369.1200
 132|  23|   1|   0|269.0000|  2.3200|   1377.0850
 318|  23|   1|   7|272.7905|  2.3670|   1402.0990
 139|  23|   2|   0|265.0000|  2.3520|   1396.2220
 197|  23|   2|   7|272.0000|  2.3390|   1406.5930
 102|  23|   3|   0|265.0000|  2.3740|   1388.9800
 347|  23|   3|   7|285.8816|  2.3760|   1452.9160
 Module  24                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  24|   0|   0|  0.0000|  2.3730|   1418.7419
 315|  24|   0|   7|274.7260|  2.3920|   1403.7820
 999|  24|   1|   0|  0.0000|  2.3770|   1407.4370
 999|  24|   1|   7|  0.0000|  2.3670|   1426.1390
 135|  24|   2|   0|  0.0000|  2.3390|   1386.4821
 329|  24|   2|   7|270.3513|  2.3480|   1407.4370
 328|  24|   3|   0|279.2321|  2.3470|   1391.4830
 348|  24|   3|   7|274.0620|  2.3670|   1428.4220
 Module  25                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  25|   0|   0|  0.0000|  2.3870|   1423.0040
 999|  25|   0|   7|  0.0000|  2.3950|   1425.2830
 999|  25|   1|   0|  0.0000|  2.2690|   1379.2910
 999|  25|   1|   7|  0.0000|  2.3910|   1423.5740
 150|  25|   2|   0|262.0000|  2.3710|   1365.5640
 999|  25|   2|   7|  0.0000|  2.3050|   1397.3400
 205|  25|   3|   0|294.0000|  2.2950|   1429.5649
 101|  25|   3|   7|265.0000|  2.3840|   1418.7419
 Module  26                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
