    LAYER  SECTOR    WIRE      GAIN
        1      15       5    0.002248
        1      15       6    0.002305
        1      15       7    0.001796
        1      15       8    0.001900
        1      15       9    0.002085
        1      15      10    0.002165
        1      16       0    0.001394
        1      16       1    0.001713
        1      16       2    0.001690
        1      16       3    0.001798
        1      16       4    0.001854
        1      16       5    0.002056
        1      16       6    0.001714
        1      16       7    0.001830
        1      16       8    0.001395
        1      16       9    0.001791
        1      16      10    0.001615
        1      17       0    0.001431
        1      17       1    0.002128
        1      17       2    0.001804
        1      17       3    0.002004
        1      17       4    0.001937
        1      17       5    0.001944
        1      17       6    0.001717
        1      17       7    0.001412
        1      17       8    0.001820
        1      17       9    0.001739
        1      17      10    0.001818
        1      18       0    0.001305
        1      18       1    0.001904
        1      18       2    0.001851
        1      18       3    0.001948
        1      18       4    0.001995
        1      18       5    0.002209
        1      18       6    0.002028
        1      18       7    0.001327
        1      18       8    0.001353
        1      18       9    0.001852
        1      18      10    0.001853
        1      19       0    0.001194
        1      19       1    0.002226
        1      19       2    0.001916
        1      19       3    0.002022
        1      19       4    0.002311
        1      19       5    0.002419
        1      19       6    0.001751
        1      19       7    0.001559
        1      19       8    0.001468
        1      19       9    0.001864
        1      19      10    0.001837
        1      20       0    0.001559
        1      20       1    0.002452
        1      20       2    0.002147
        1      20       3    0.002422
        1      20       4    0.001847
        1      20       5    0.002291
        1      20       6    0.001731
        1      20       7    0.001448
        1      20       8    0.001536
        1      20       9    0.001719
        1      20      10    0.001810
        1      21       0    0.001790
        1      21       1    0.002160
        1      21       2    0.002257
        1      21       3    0.002216
        1      21       4    0.001798
        1      21       5    0.001965
        1      21       6    0.001754
        1      21       7    0.001759
        1      21       8    0.001848
        1      21       9    0.001881
        1      21      10    0.001965
        1      22       0    0.001767
        1      22       1    0.002993
        1      22       2    0.003392
        1      22       3    0.003735
        1      22       4    0.003037
        1      22       5    0.003342
        1      22       6    0.001771
        1      22       7    0.001456
        1      22       8    0.001974
        1      22       9    0.001654
        1      22      10    0.001744
        1      23       0    1.000000
        1      23       1    1.000000
        1      23       2    1.000000
        1      23       3    1.000000
        1      23       4    1.000000
        1      23       5    1.000000
        1      23       6    1.000000
        1      23       7    1.000000
        1      23       8    1.000000
        1      23       9    1.000000
        1      23      10    1.000000
        1      24       0    0.001352
        1      24       1    0.001834
        1      24       2    0.002107
        1      24       3    0.001761
        1      24       4    0.001886
        1      24       5    0.001678
        1      24       6    0.001646
        1      24       7    0.001445
        1      24       8    0.001588
        1      24       9    0.001808
        1      24      10    0.001849
        1      25       0    0.001692
        1      25       1    0.002172
        1      25       2    0.002026
        1      25       3    0.001636
        1      25       4    0.001756
        1      25       5    0.002363
        1      25       6    0.001894
        1      25       7    0.001601
        1      25       8    0.001528
        1      25       9    0.001734
        1      25      10    0.001776
        1      26       0    0.001261
        1      26       1    0.001895
        1      26       2    0.001977
        1      26       3    0.001976
        1      26       4    0.002418
        1      26       5    0.002235
        1      26       6    0.001979
        1      26       7    0.001548
        1      26       8    0.001707
        1      26       9    0.001746
        1      26      10    0.001546
        1      27       0    0.001580
        1      27       1    0.002277
        1      27       2    0.002326
        1      27       3    0.001726
        1      27       4    0.002215
        1      27       5    0.002094
        1      27       6    0.002538
        1      27       7    0.001772
        1      27       8    0.001807
        1      27       9    0.001874
        1      27      10    0.001882
        1      28       0    0.001396
        1      28       1    0.002225
        1      28       2    0.001977
        1      28       3    0.001433
        1      28       4    0.001983
        1      28       5    0.002172
        1      28       6    0.002059
        1      28       7    0.001687
        1      28       8    0.001443
        1      28       9    0.001840
        1      28      10    0.001994
        1      29       0    0.001346
        1      29       1    0.002340
        1      29       2    0.002030
        1      29       3    0.002176
        1      29       4    0.002085
        1      29       5    0.002563
        1      29       6    0.002335
        1      29       7    0.001463
        1      29       8    0.001508
        1      29       9    0.001789
        1      29      10    0.002025
        1      30       0    0.001419
        1      30       1    0.002081
        1      30       2    0.002093
        1      30       3    0.002084
        1      30       4    0.002085
        1      30       5    0.001670
        1      30       6    0.001843
        1      30       7    0.001527
        1      30       8    0.001540
        1      30       9    0.001823
        1      30      10    0.002263
        1      31       0    0.001354
        1      31       1    0.001943
        1      31       2    0.001752
        1      31       3    0.001739
        1      31       4    0.001823
        1      31       5    0.001997
        1      31       6    0.001585
        1      31       7    0.001523
        1      31       8    0.001857
        1      31       9    0.001611
        1      31      10    0.001775
        2       0       0    0.001680
        2       0       1    0.001832
        2       0       2    0.002098
        2       0       3    0.001701
        2       0       4    0.001975
        2       0       5    0.001894
        2       0       6    0.001988
        2       0       7    0.001379
        2       0       8    0.001485
        2       0       9    0.001735
        2       0      10    0.001924
        2       1       0    0.001637
        2       1       1    0.001819
        2       1       2    0.002056
        2       1       3    0.002000
        2       1       4    0.002106
        2       1       5    0.002488
        2       1       6    0.002077
        2       1       7    0.001743
        2       1       8    0.002065
        2       1       9    0.002253
        2       1      10    0.001956
        2       2       0    0.002221
        2       2       1    0.002359
        2       2       2    0.002012
        2       2       3    0.001553
        2       2       4    0.001913
        2       2       5    0.002120
        2       2       6    0.001904
        2       2       7    0.001449
        2       2       8    0.001519
        2       2       9    0.001933
        2       2      10    0.001935
        2       3       0    0.001230
        2       3       1    0.002035
        2       3       2    0.001975
        2       3       3    0.001741
        2       3       4    0.002101
        2       3       5    0.002223
        2       3       6    0.001983
        2       3       7    0.001733
        2       3       8    0.001635
        2       3       9    0.001934
        2       3      10    0.002456
        2       4       0    0.001326
        2       4       1    0.001864
        2       4       2    0.001737
        2       4       3    0.001957
        2       4       4    0.001840
        2       4       5    0.002229
        2       4       6    0.001765
        2       4       7    0.001642
        2       4       8    0.001728
        2       4       9    0.002154
        2       4      10    0.001856
        2       5       0    0.001481
        2       5       1    0.002019
